threshold,f1,precision,recall,balanced_accuracy
0.05,0.6585365853658537,0.5510204081632653,0.8181818181818182,0.908510566864857
0.075,0.7297297297297297,0.6585365853658537,0.8181818181818182,0.9087216004016032
0.1,0.7641509433962265,0.7168141592920354,0.8181818181818182,0.9088095310419142
0.125,0.7804878048780488,0.7547169811320755,0.8080808080808081,0.9038117843755956
0.15,0.7843137254901961,0.7619047619047619,0.8080808080808081,0.9038205774396267
0.175,0.8040201005025126,0.8,0.8080808080808081,0.9038645427597822
0.2,0.8020304568527918,0.8061224489795918,0.797979797979798,0.8988228307733083
0.22499999999999998,0.7938144329896907,0.8105263157894737,0.7777777777777778,0.8887306137363292
0.25,0.7938144329896907,0.8105263157894737,0.7777777777777778,0.8887306137363292
0.27499999999999997,0.7979274611398963,0.8191489361702128,0.7777777777777778,0.8887394068003603
0.3,0.7978723404255319,0.8426966292134831,0.7575757575757576,0.8786647758914434
0.32499999999999996,0.8108108108108109,0.872093023255814,0.7575757575757576,0.8786911550835368
0.35,0.8108108108108109,0.872093023255814,0.7575757575757576,0.8786911550835368
0.37499999999999994,0.819672131147541,0.8928571428571429,0.7575757575757576,0.878708741211599
0.39999999999999997,0.819672131147541,0.8928571428571429,0.7575757575757576,0.878708741211599
0.42499999999999993,0.8241758241758241,0.9036144578313253,0.7575757575757576,0.87871753427563
0.44999999999999996,0.8222222222222222,0.9135802469135802,0.7474747474747475,0.8736758222891561
0.475,0.8268156424581006,0.925,0.7474747474747475,0.8736846153531872
0.49999999999999994,0.8202247191011236,0.9240506329113924,0.7373737373737373,0.8686341103026821
0.525,0.8,0.9210526315789473,0.7070707070707071,0.853482595151167
0.5499999999999999,0.7976878612716763,0.9324324324324325,0.696969696969697,0.848440883164693
0.575,0.783625730994152,0.9305555555555556,0.6767676767676768,0.838339873063683
0.6,0.7857142857142857,0.9565217391304348,0.6666666666666666,0.8333069541412401
0.625,0.7710843373493976,0.9552238805970149,0.6464646464646465,0.82320594404023
0.65,0.7636363636363637,0.9545454545454546,0.6363636363636364,0.818155438989725
0.675,0.7407407407407407,0.9523809523809523,0.6060606060606061,0.8030039238382098
0.7,0.7329192546583851,0.9516129032258065,0.5959595959595959,0.7979534187877046
0.725,0.725,0.9508196721311475,0.5858585858585859,0.7929029137371997
0.75,0.7169811320754716,0.95,0.5757575757575758,0.7878524086866947
0.775,0.7006369426751592,0.9482758620689655,0.5555555555555556,0.7777513985856845
0.7999999999999999,0.7006369426751592,0.9482758620689655,0.5555555555555556,0.7777513985856845
0.825,0.6753246753246753,0.9454545454545454,0.5252525252525253,0.7625998834341694
0.85,0.6533333333333333,0.9607843137254902,0.494949494949495,0.7474571613466853
0.875,0.6394557823129252,0.9791666666666666,0.47474747474747475,0.7373649443097063
0.9,0.6206896551724138,0.9782608695652174,0.45454545454545453,0.7272639342086962
0.9249999999999999,0.5507246376811594,0.9743589743589743,0.3838383838383838,0.6919103988551608
0.95,0.46153846153846156,0.967741935483871,0.30303030303030304,0.6515063584511205
