feature,importance
V14,0.10505008935083375
V12,0.08474925158670801
V11,0.08013922504430854
V4,0.06882681486941288
V17,0.06359523916477201
V_Mean,0.06125760625939373
V16,0.05195959445182296
V_Std,0.048261980477187216
V3,0.042733355175927606
V10,0.04185689200907691
V_Abs_Max,0.03789410540334094
V18,0.02637501968088777
V9,0.02300198229585783
Amount_Percentile,0.015417959253439983
V1,0.014762813995942875
